"filename","title","description","feature","topic","role","level"
"./help/using/functions/functioninsegment.md","inSegment","Learn about the function inSegment","","","",""
"./help/using/functions/functionavg.md","avg","Learn about the function avg","","","",""
"./help/using/functions/functioncount.md","count","Learn about the function count","","","",""
"./help/using/functions/functioncountonlynull.md","countOnlyNull","Learn about the function countOnlyNull","","","",""
"./help/using/functions/functioncountwithnull.md","countWithNull","Learn about the function countWithNull","","","",""
"./help/using/functions/functiondistinctcount.md","distinctCount","Learn about the function distinctCount","","","",""
"./help/using/functions/functiondistinctcountwithnull.md","distinctCountWithNull","Learn about the function distinctCountWithNull","","","",""
"./help/using/functions/functionmax.md","max","Learn about the function max","","","",""
"./help/using/functions/functionmin.md","min","Learn about the function min","","","",""
"./help/using/functions/functionsum.md","sum","Learn about the function sum","","","",""
"./help/using/functions/functiontobool.md","toBool","Learn about the function toBool","","","",""
"./help/using/functions/functiontodatetime.md","toDateTime","Learn about the function toDateTime","","","",""
"./help/using/functions/functiontodatetimeonly.md","toDateTimeOnly","Learn about the function toDateTime","","","",""
"./help/using/functions/functiontodecimal.md","toDecimal","Learn about the function toDecimal","","","",""
"./help/using/functions/functiontoduration.md","toDuration","Learn about the function toDuration","","","",""
"./help/using/functions/functiontointeger.md","toInteger","Learn about the function toInteger","","","",""
"./help/using/functions/functiontostring.md","toString","Learn about the function toString","","","",""
"./help/using/functions/functioncurrenttimeinmillis.md","currentTimeInMillis","Learn about the function currentTimeInMillis","","","",""
"./help/using/functions/functioninlastdays.md","inLastDays","Learn about the function inLastDays","","","",""
"./help/using/functions/functioninlasthours.md","inLastHours","Learn about the function inLastHours","","","",""
"./help/using/functions/functioninlastmonths.md","inLastMonths","Learn about the function inLastMonths","","","",""
"./help/using/functions/functioninlastyears.md","inLastYears","Learn about the function inLastYears","","","",""
"./help/using/functions/functioninnextdays.md","inNextDays","Learn about the function inNextDays","","","",""
"./help/using/functions/functioninnexthours.md","inNextHours","Learn about the function inNextHours","","","",""
"./help/using/functions/functioninnextmonths.md","inNextMonths","Learn about the function inNextMonths","","","",""
"./help/using/functions/functioninnextyears.md","inNextYears","Learn about the function inNextYears","","","",""
"./help/using/functions/functionnow.md","now","Learn about the function now","","","",""
"./help/using/functions/functionnowwithdelta.md","nowWithDelta","Learn about the function nowWithDelta","","","",""
"./help/using/functions/functionsethours.md","setHours","Learn about the function setHours","","","",""
"./help/using/functions/functionsetdays.md","setDays","Learn about the function setDays","","","",""
"./help/using/functions/functiondistinct.md","distinct","Learn about the function distinct","","","",""
"./help/using/functions/functiondistinctwithnull.md","distinctWithNull","Learn about the function distinctWithNull","","","",""
"./help/using/functions/functiongetlistitem.md","getListItem","Learn about the function gstListItem","","","",""
"./help/using/functions/functionin.md","in","Learn about the function in","","","",""
"./help/using/functions/functionlistsize.md","listSize","Learn about the function listSize","","","",""
"./help/using/functions/functionserializelist.md","serializeList","Learn about the function serializeList","","","",""
"./help/using/functions/functionsort.md","sort","Learn about the function sort","","","",""
"./help/using/functions/functionrandom.md","random","Learn about the function random","","","",""
"./help/using/functions/functionround.md","round","Learn about the function round","","","",""
"./help/using/functions/functionconcat.md","concat","Learn about the function concat","","","",""
"./help/using/functions/functioncontain.md","contain","Learn about the function contain","","","",""
"./help/using/functions/functioncontainwithignorecase.md","containWithIgnoreCase","Learn about the function containWithIgnoreCase","","","",""
"./help/using/functions/functionendwith.md","endWith","Learn about the function endWith","","","",""
"./help/using/functions/functionendwithignorecase.md","endWithIgnoreCase","Learn about the function endWithIgnoreCase","","","",""
"./help/using/functions/functionequalignorecase.md","equalWithIgnoreCase","Learn about the function equalWithIgnoreCase","","","",""
"./help/using/functions/functionindexof.md","indexOf","Learn about the function indexOf","","","",""
"./help/using/functions/functionisempty.md","isEmpty","Learn about the function isEmpty","","","",""
"./help/using/functions/functionisnotempty.md","isNotEmpty","Learn about the function isNotEmpty","","","",""
"./help/using/functions/functionlastindexof.md","lastIndexOf","Learn about the function lastIndexOf","","","",""
"./help/using/functions/functionlength.md","length","Learn about the function length","","","",""
"./help/using/functions/functionlower.md","lower","Learn about the function lower","","","",""
"./help/using/functions/functionmatchregexp.md","matchRegExp","Learn about the function matchRegExp","","","",""
"./help/using/functions/functionnotequalignorecase.md","notEqualWithIgnoreCase","Learn about the function notEqualWithIgnoreCase","","","",""
"./help/using/functions/functionreplace.md","replace","Learn about the function replace","","","",""
"./help/using/functions/functionreplaceall.md","replaceAll","Learn about the function replaceAll","","","",""
"./help/using/functions/functionsplit.md","split","Learn about the function split","","","",""
"./help/using/functions/functionstartwith.md","startWith","Learn about the function startWith","","","",""
"./help/using/functions/functionstartwithignorecase.md","startWithIgnoreCase","Learn about the function startWithIgnoreCase","","","",""
"./help/using/functions/functionsubstr.md","substr","Learn about the function substr","","","",""
"./help/using/functions/functiontrim.md","trim","Learn about the function trim","","","",""
"./help/using/functions/functionupper.md","upper","Learn about the function upper","","","",""
"./help/using/functions/functionuuid.md","uuid","Learn about the function uuid","","","",""
"./help/using/reporting/about-journey-reports.md","About journey reports","Learn how to build your journey reports","","","",""
"./help/using/reporting/creating-your-journey-reports.md","Creating your journey reports","Learn how to create your journey reports","","","",""
"./help/using/reporting/metrics-and-dimensions.md","Metrics and dimensions","Learn about dimensions and metrics available for Journey Orchestration","","","",""
"./help/using/ai-services/ai-services-overview.md","AI service overview","AI service overview","","","",""
"./help/using/ai-services/leveraging-customer-ai.md","Leveraging customer AI scores","Leveraging customer AI scores","","","",""
"./help/using/usecase/about-the-simple-use-case.md","About the simple use case","Lean more on the journey simple use-case","","","",""
"./help/using/usecase/configuring-the-event.md","Configuring the event","Learn how to configure the event for the journey simple use case","","","",""
"./help/using/usecase/configuring-the-data-source.md","Configuring the data source","Learn how to configure the data source for the journey simple use case","","","",""
"./help/using/usecase/simple-uc-building-the-journey.md","Building the journey","Learn how to build the simple use case journey","","","",""
"./help/using/usecase/about-the-advanced-use-case.md","About the advanced use case","Lean more on the journey advanced use-case","","","",""
"./help/using/usecase/configuring-the-events.md","Configuring the events","Learn how to configure the events for the journey advanced use case","","","",""
"./help/using/usecase/configuring-the-data-sources.md","Configuring the data sources","Learn how to configure the data source for the journey advanced use case","","","",""
"./help/using/usecase/building-the-journey.md","Building the journey","Learn how to build the advanced use case journey ","","","",""
"./help/using/api/capping.md","Capping API description","Learn more about the Capping API.","","","",""
